Intercept,574364.70,189648.32,248707.05,17.70
&,-3424.27,19850.63,263607.00,0.10
metro50,24776.83,97631.25,96892.24,0.21
&,8176.48,12838.28,12821.84,0.03
STORIES,&,63388.06,64507.54,&
&,&,8460.41,8447.44,&
LANDAREA,&,7.84,9.04,&
&,&,2.52,2.53,&
Bedroom,&,150960.90,143963.93,0.32
&,&,4490.45,4717.21,0.01
HF_BATHRM,&,94667.83,87127.34,0.24
&,&,6886.83,7053.45,0.02
C(structure)[T.2.0],&,-331169.10,-309597.28,-0.78
&,&,18996.82,19493.71,0.06
C(structure)[T.3.0],&,-190811.19,-197509.55,-0.54
&,&,11459.78,11522.49,0.03
C(structure)[T.4.0],&,-52120.28,-57029.36,-0.17
&,&,12490.24,12507.49,0.03
C(structure)[T.5.0],&,-77761.28,-83945.82,-0.25
&,&,13528.30,13562.47,0.03
Rooms,&,&,&,0.16
&,&,&,&,0.02
roomsSQ,&,&,&,-0.01
&,&,&,&,0.00
bedSQ,&,&,&,0.01
&,&,&,&,0.00
