,Unnamed: 0.1,Unnamed: 0,BATHRM,HF_BATHRM,AC,NUM_UNITS,ROOMS,BEDRM,EYB,STORIES,PRICE,STRUCT,CNDTN,KITCHENS,FIREPLACES,LANDAREA,FULLADDRESS,CITY,STATE,ZIPCODE,NATIONALGRID,LATITUDE,LONGITUDE,ASSESSMENT_SUBNBHD,WARD,SQUARE,X,Y,QUADRANT,year,"('distance', '.25metro', '.50metro')",distance2
0,35,35,3,1,Y,2.0,8,3,1969,3.0,,Row Inside,Average,2.0,3,1853,1436 CORCORAN STREET NW,WASHINGTON,DC,20009.0,18S UJ 23689 08944,38.91170718,-77.03350481,040 E Old City 2,Ward 2,208,-77.03336605302212,38.91171593355257,NW,2017,0.4880532276305523,0.6568358657369349
1,44,44,3,2,Y,2.0,10,4,1967,3.0,1700000.0,Row Inside,Very Good,2.0,2,1853,1416 CORCORAN STREET NW,WASHINGTON,DC,20009.0,18S UJ 23749 08943,38.91170567,-77.03281462,040 E Old City 2,Ward 2,208,-77.03336605302212,38.91171593355257,NW,2017,0.4644530947891233,0.7750976950026696
2,75,75,2,1,Y,2.0,11,3,1985,2.0,,Row Inside,Average,2.0,2,1340,1922 NEW HAMPSHIRE AVENUE NW,WASHINGTON,DC,20009.0,18S UJ 23336 09449,38.91617962,-77.03769848,040 D Old City 2,Ward 2,176,-77.03782954621951,38.91618992735694,NW,2017,0.54807683621845,0.7499118365020585
3,81,81,2,1,Y,2.0,11,3,1990,2.0,1363000.0,Row Inside,Good,2.0,2,1320,1910 1/2 NEW HAMPSHIRE AVENUE NW,WASHINGTON,DC,20009.0,18S UJ 23320 09420,38.9159549,-77.03786325,040 D Old City 2,Ward 2,176,-77.03782954621951,38.91618992735694,NW,2017,0.530267744882663,0.6923946799002876
4,90,90,6,0,N,4.0,18,4,1957,3.0,1500000.0,Multi,Average,4.0,0,1760,1619 SWANN STREET NW,WASHINGTON,DC,20009.0,18S UJ 23350 09318,38.91500419,-77.03750772,040 D Old City 2,Ward 2,177,-77.03722060883345,38.91503291516594,NW,2017,0.48959697341498226,0.40337580368025155
5,99,99,4,0,N,4.0,14,6,1970,3.0,1351830.0,Row End,Average,4.0,4,960,1707 21ST STREET NW,WASHINGTON,DC,20009.0,18S UJ 22573 09115,38.91301925,-77.04640703,040 D Old City 2,Ward 2,92,-77.04614770438536,38.91314454071789,NW,2017,0.2852297661488794,0.3845523642649626
6,103,103,4,1,Y,2.0,11,6,1963,3.0,1844970.0,Semi-Detached,Good,2.0,2,1224,2025 R STREET NW,WASHINGTON,DC,20009.0,18S UJ 22569 09087,38.91276223,-77.04644353,040 D Old City 2,Ward 2,92,-77.04614770438536,38.91314454071789,NW,2017,0.2719195844930744,0.26473772515720606
7,119,119,3,1,Y,1.0,11,5,1972,3.0,1625000.0,Row Inside,Good,2.0,7,1800,2014 HILLYER PLACE NW,WASHINGTON,DC,20009.0,18S UJ 22638 08967,38.91170335,-77.04562443,040 D Old City 2,Ward 2,93,-77.04588948289005,38.912002776430526,NW,2017,0.18719784069456086,0.2612725809152395
8,120,120,3,1,Y,2.0,11,5,1963,3.0,,Row Inside,Good,2.0,2,1800,2012 HILLYER PLACE NW,WASHINGTON,DC,20009.0,18S UJ 22644 08967,38.91170338,-77.04555168,040 D Old City 2,Ward 2,93,-77.04588948289005,38.912002776430526,NW,2017,0.18474761370327683,0.6023458365571952
9,138,138,2,2,Y,2.0,8,5,1972,3.0,1925000.0,Row Inside,Good,2.0,1,1627,1760 T STREET NW,WASHINGTON,DC,20009.0,18S UJ 23087 09363,38.91535621,-77.04054670000001,040 D Old City 2,Ward 2,152,-77.04042907495098,38.914881109044266,NW,2017,0.4259228256490766,0.23373908652163675
